1.075000000000000000e+03,7.500000000000000000e+01,2.260000000000000000e+02,7.823000000000000000e+03,6.720000000000000000e+02,3.600000000000000000e+01,6.000000000000000000e+01,2.900000000000000000e+01
1.088000000000000000e+03,7.300000000000000000e+01,2.240000000000000000e+02,7.709000000000000000e+03,7.810000000000000000e+02,3.100000000000000000e+01,6.100000000000000000e+01,2.900000000000000000e+01
9.110000000000000000e+02,5.400000000000000000e+01,2.460000000000000000e+02,8.113000000000000000e+03,5.490000000000000000e+02,3.100000000000000000e+01,6.300000000000000000e+01,2.900000000000000000e+01
9.660000000000000000e+02,5.700000000000000000e+01,2.400000000000000000e+02,7.952000000000000000e+03,6.190000000000000000e+02,5.000000000000000000e+01,7.800000000000000000e+01,3.500000000000000000e+01
1.051000000000000000e+03,6.700000000000000000e+01,2.590000000000000000e+02,7.771000000000000000e+03,6.720000000000000000e+02,5.000000000000000000e+01,8.000000000000000000e+01,4.600000000000000000e+01
9.110000000000000000e+02,4.900000000000000000e+01,2.680000000000000000e+02,7.924000000000000000e+03,6.780000000000000000e+02,5.100000000000000000e+01,7.000000000000000000e+01,4.400000000000000000e+01
9.220000000000000000e+02,6.600000000000000000e+01,2.640000000000000000e+02,7.990000000000000000e+03,6.180000000000000000e+02,4.900000000000000000e+01,5.600000000000000000e+01,2.900000000000000000e+01
1.100000000000000000e+03,6.100000000000000000e+01,2.350000000000000000e+02,7.728000000000000000e+03,7.340000000000000000e+02,3.900000000000000000e+01,6.400000000000000000e+01,3.500000000000000000e+01
1.082000000000000000e+03,6.000000000000000000e+01,2.390000000000000000e+02,7.745000000000000000e+03,7.090000000000000000e+02,4.600000000000000000e+01,8.300000000000000000e+01,3.300000000000000000e+01
1.037000000000000000e+03,5.500000000000000000e+01,2.130000000000000000e+02,7.944000000000000000e+03,6.330000000000000000e+02,2.600000000000000000e+01,5.200000000000000000e+01,3.000000000000000000e+01
1.051000000000000000e+03,3.500000000000000000e+01,2.190000000000000000e+02,7.978000000000000000e+03,6.050000000000000000e+02,2.100000000000000000e+01,6.500000000000000000e+01,2.400000000000000000e+01
1.036000000000000000e+03,5.900000000000000000e+01,2.350000000000000000e+02,7.868000000000000000e+03,6.610000000000000000e+02,3.000000000000000000e+01,6.200000000000000000e+01,4.400000000000000000e+01
